"A3","country","population"
"AFG","Afghanistan",34656032
"ALB","Albania",2876101
"DZA","Algeria",40606052
"ASM","American Samoa",55599
"AND","Andorra",77281
"AGO","Angola",28813463
"ATG","Antigua and Barbuda",100963
"ARG","Argentina",43847430
"ARM","Armenia",2924816
"ABW","Aruba",104822
"AUS","Australia",24127159
"AUT","Austria",8747358
"AZE","Azerbaijan",9762274
"BHS","Bahamas",391232
"BHR","Bahrain",1425171
"BGD","Bangladesh",162951560
"BRB","Barbados",284996
"BLR","Belarus",9507120
"BEL","Belgium",11348159
"BLZ","Belize",366954
"BEN","Benin",10872298
"BMU","Bermuda",65331
"BTN","Bhutan",797765
"BOL","Bolivia",10887882
"BIH","Bosnia and Herzegovina",3516816
"BWA","Botswana",2250260
"BRA","Brazil",207652865
"VGB","British Virgin Islands",30661
"BRN","Brunei Darussalam",423196
"BGR","Bulgaria",7127822
"BFA","Burkina Faso",18646433
"BDI","Burundi",10524117
"CPV","Cape Verde",539560
"KHM","Cambodia",15762370
"CMR","Cameroon",23439189
"CAN","Canada",36286425
"CYM","Cayman Islands",60765
"CAF","Central African Republic",4594621
"TCD","Chad",14452543
"CHI","Channel Islands",164541
"CHL","Chile",17909754
"CHN","China",1378665000
"COL","Colombia",48653419
"COM","Comoros",795601
"COD","Democratic Republic of the Congo",78736153
"COG","Congo",5125821
"CRI","Costa Rica",4857274
"CIV","Ivory Coast",23695919
"HRV","Croatia",4170600
"CUB","Cuba",11475982
"CUW","Curacao",159999
"CYP","Cyprus",1170125
"CZE","Czech Republic",10561633
"DNK","Denmark",5731118
"DJI","Djibouti",942333
"DMA","Dominica",73543
"DOM","Dominican Republic",10648791
"ECU","Ecuador",16385068
"EGY","Egypt",95688681
"SLV","El Salvador",6344722
"GNQ","Equatorial Guinea",1221490
"ERI","Eritrea",4474690
"EST","Estonia",1316481
"ETH","Ethiopia",102403196
"FRO","Faroe Islands",49117
"FJI","Fiji",898760
"FIN","Finland",5495096
"FRA","France",66896109
"PYF","French Polynesia",280208
"GAB","Gabon",1979786
"GMB","Gambia",2038501
"GEO","Georgia",3719300
